ScientificName,order,family,CommonName,GPT4_Desc,Expert Annotation
Gryllus campestris,Orthoptera,Gryllidae,"European field cricket, field cricket","['gryllus campestris, commonly known as the field cricket, has several morphological features that can help in its identification:', '1. size: adult field crickets typically measure around 19-23 mm in length for males and 21-25 mm for females.', '2. color: gryllus campestris is usually black or dark brown in color, with some individuals exhibiting a lighter brown or reddish-brown hue.', '3. body shape: the field cricket has a robust, somewhat flattened body with a large, rounded head.', '4. wings: both male and female field crickets possess two pairs of wings. the front wings, or tegmina, are leathery and cover the membranous hind wings when at rest. the hind wings are much larger and are used for flying.', '5. legs: field crickets have strong, spiny hind legs adapted for jumping. the front and middle legs are shorter and used for walking.', '6. antennae: gryllus campestris has long, thin antennae that can be more than twice the length of its body. these antennae are used for sensing the environment.', '7. eyes: field crickets have large, compound eyes that are usually dark in color.', '8. cerci: at the end of the abdomen, field crickets have two long, slender cerci that are sensory organs used to detect vibrations and air currents.', '9. ovipositor: female field crickets have a long, slender ovipositor, which is a tube-like structure used for laying eggs. this ovipositor is usually curved and extends from the end of the abdomen.', 'by observing these morphological features, one can identify gryllus campestris from other cricket species.']",cricket. black body
Lymantria dispar,Lepidoptera,Erebidae,european gypsy moth,"['lymantria dispar, commonly known as the gypsy moth, is an invasive species of moth that can cause significant damage to forests and trees. here are some key morphological identifying features of lymantria dispar:', '1. size: adult gypsy moths have a wingspan of about 1.5-2 inches (40-50 mm) for males and 2-2.5 inches (50-65 mm) for females.', '2. sexual dimorphism: adult male and female gypsy moths display significant differences in their appearance. males are generally smaller and have feathery antennae, while females are larger with thicker, less feathery antennae.', '3. wing color and pattern: adult male gypsy moths have brownish-gray wings with a distinct pattern of dark bands and wavy lines. females have white to cream-colored wings with similar dark patterns, but the patterns may be less distinct.', '4. flight capabilities: female gypsy moths are flightless or have limited flight capabilities, while males are strong fliers.', '5. larval stage (caterpillar): gypsy moth caterpillars are hairy and have a distinct pattern of five pairs of blue dots followed by six pairs of red dots along their back. they can grow up to 2-3 inches (50-75 mm) in length.', '6. egg masses: female gypsy moths lay their eggs in masses covered with tan or buff-colored hairs. these egg masses can contain 100-1,000 eggs and are often found on tree trunks, branches, or other surfaces.', '7. pupae: gypsy moth pupae are dark brown and covered with a thin layer of hairs. they are typically found within a silk cocoon spun by the caterpillar.', 'by observing these morphological features, one can identify lymantria dispar and differentiate it from other moth species.']",white moth. light brown lines across wings. hairy body
Mantis religiosa,Mantodea,Mantidae,European Mantis,"['mantis religiosa, commonly known as the european mantis or praying mantis, has several morphological features that help in its identification:', '1. body size and shape: adult mantises have a body length of about 5-7.5 cm (2-3 inches) with females being slightly larger than males. their bodies are elongated with a triangular head, a slender thorax, and a long, folded abdomen.', '2. coloration: the color of mantis religiosa can vary from green to brown, often with a mix of both colors, which helps them blend in with their surroundings. some individuals may have a more uniform color, while others may have mottled or striped patterns.', '3. head and eyes: the triangular head of mantis religiosa is highly mobile and can rotate 180 degrees, allowing them to scan their surroundings without moving their body. they have large, compound eyes that provide them with excellent vision and the ability to detect movement. between the compound eyes, there are three small, simple eyes (ocelli) that help with light detection.', '4. raptorial forelegs: one of the most distinctive features of mantis religiosa is their enlarged, spiny front legs, which they use for capturing and holding prey. these legs are folded in a praying position when at rest, giving them their common name ""praying mantis."" the inner surface of the forelegs has a series of sharp spines that help to grip and immobilize their prey.', '5. wings: adult mantis religiosa have two pairs of wings. the front wings, or tegmina, are narrow and leathery, while the hind wings are broader and membranous. in males, the wings are usually long enough to cover the entire abdomen, while in females, the wings may be slightly shorter, not fully covering the abdomen.', '6. sexual dimorphism: males and females of mantis religiosa can be distinguished by their size, with females being slightly larger, and by the number of abdominal segments. males have eight abdominal segments, while females have six visible segments.', '7. antennae: mantis religiosa has long, thin antennae that extend forward from the head. the antennae are used to detect chemical cues and vibrations in their environment.', '8. cerci: at the tip of the abdomen, mantis religiosa has a pair of sensory appendages called cerci. these cerci help the mantis detect vibrations and air currents, providing information about their surroundings and potential']",Green mantis with forelegs mimicking prayer.
Exochomus quadripustulatus,Coleoptera,Coccinellidae,"Pine ladybird, pine lady beetle","['exochomus quadripustulatus, commonly known as the pine ladybird, is a species of ladybird beetle. the following are some morphological identifying features of exochomus quadripustulatus:', '1. size: exochomus quadripustulatus is relatively small, with a body length of around 3-4 millimeters.', '2. color: the background color of the elytra (wing covers) is typically black or dark brown.', '3. pattern: the elytra have four red or orange spots, with two spots on each elytron. these spots are typically symmetrical and well-defined. the common name ""quadripustulatus"" refers to these four spots. the pronotum (plate-like structure that covers the thorax) is also black with a red or orange margin.', '4. shape: the body shape of exochomus quadripustulatus is oval and slightly convex.', '5. head: the head is relatively small and is mostly concealed from above by the pronotum.', '6. legs: the legs are black or dark brown and relatively short.', '7. antennae: the antennae are short and clubbed at the end, which is a characteristic feature of ladybird beetles.', '8. eyes: the eyes are relatively large and are situated on the sides of the head.', '9. habitat: exochomus quadripustulatus is commonly found on pine trees, where it feeds on scale insects and other small pests. it can also be found on other conifers and deciduous trees.', 'to identify exochomus quadripustulatus, look for the combination of the small size, black elytra with four red or orange spots, and the red or orange margin on the pronotum.']",Beetle has four dark red spots on the shinny black elytra.
Spodoptera frugiperda,Lepidoptera,Noctuidae,Fall Armyworm,"['spodoptera frugiperda, commonly known as the fall armyworm, is a moth species with distinct morphological features that can be used for identification. these features include:', '1. size and shape: adult fall armyworm moths have a wingspan of about 32-40 mm. their forewings are elongated and slightly pointed at the apex.', '2. coloration: the forewings of adult moths are generally mottled with shades of gray and brown, often with a predominant dark brown or gray color. they may also have a noticeable white spot near the center and a white, wavy subterminal line near the outer edge. the hindwings are typically white, gray, or light brown, with a darker border.', '3. markings: the most distinctive marking on adult fall armyworm moths is the inverted ""y"" or ""v"" shaped mark on the front of the head, between the eyes. this mark is often used as a key diagnostic feature.', '4. larvae: fall armyworm larvae are variable in color, ranging from light green to dark brown or black, often with a dark, longitudinal stripe along each side. they have four pairs of abdominal prolegs and three pairs of thoracic legs. the head capsule of the larvae is typically marked with a pale, inverted ""y"" shape, similar to the mark found on the adult moths.', '5. pupae: the pupae of spodoptera frugiperda are reddish-brown and approximately 15-20 mm in length. they are found within a loosely woven cocoon, often in the soil or among plant debris.', ""6. eggs: fall armyworm eggs are small (about 0.4 mm in diameter), spherical, and laid in clusters on the host plant's leaves. they are initially light green or pale yellow, turning darker as they mature. the egg masses are often covered with a layer of moth scales, giving them a fuzzy appearance."", 'these morphological features can be used to identify spodoptera frugiperda and distinguish them from other similar species.']",Green to brown body. White lines down side of body. Heads can be black to orange-brown.
Alsophila pometaria,Lepidoptera,Geometridae,Fall Cankerworm ,"['alsophila pometaria, commonly known as the fall cankerworm or inchworm, is a moth species found in north america. here are some morphological identifying features of alsophila pometaria:', '1. size: adult moths have a wingspan of about 25-35 mm.', '2. color: adult males have grayish-brown wings with a variable pattern of darker bands and lines, while adult females are wingless and have a grayish-brown body.', '3. wings: males have well-developed wings, while females are wingless or have tiny, non-functional wings. the forewings of males have a slightly hooked tip.', '4. antennae: males have feathery antennae, while females have simple, thread-like antennae.', '5. body shape: adult females have a cylindrical, elongated body, while males have a more slender body.', '6. legs: both males and females have long, slender legs.', '7. larvae: the larvae, or caterpillars, are green with white longitudinal lines on their sides. they have two pairs of prolegs, which gives them the characteristic inchworm movement.', '8. pupae: the pupae are brown and encased in a cocoon made of silk and leaf fragments.', 'to identify alsophila pometaria, look for the combination of these features, particularly the wingless or short-winged females and the green inchworm-like larvae.']",Glossy brown moth with white irregular bands on wings
Hyphantria cunea,Lepidoptera,Erebidae,fall webworm,"['hyphantria cunea, commonly known as the fall webworm or the american white moth, has several morphological identifying features that can help in recognizing the species. here are some key features:', '1. body size and shape: adult moths have a wingspan of 25-40 mm, with a stout and hairy body.', '2. coloration: adult moths have white wings, sometimes with small dark spots or patches. the body is also white, with a few orange or yellow markings.', '3. larvae: the caterpillars are hairy and can be yellowish or light green, with black or reddish-brown head capsules. they have a series of black spots (tubercles) along their body, from which long, silky hairs emerge.', '4. webbing: larvae are known for their characteristic webbing, which they create on the host plant, often covering entire branches. these webs serve as a protective barrier against predators and are a key identifying feature of the fall webworm.', '5. host plants: hyphantria cunea caterpillars feed on a wide range of deciduous trees and shrubs, including walnut, hickory, elm, maple, and cherry.', '6. distribution: the fall webworm is native to north america and has also been introduced to europe and asia. its presence in these regions can also help in identification.', '7. life cycle: the fall webworm has one or two generations per year, depending on the region. adult moths emerge in late spring to early summer, lay eggs on the host plant, and the larvae feed and grow throughout the summer, forming their characteristic webs. pupation occurs in cocoons on the ground or in leaf litter, and the adults emerge the following year.']",light green caterpillar. black spots along both sides. long hairs on body
Pseudomantis albofimbriata,Mantodea,Mantidae,False garden mantis,"['pseudomantis albofimbriata, also known as the false garden mantis, is a species of praying mantis found in australia. here are some morphological identifying features of pseudomantis albofimbriata:', '1. size: adult females can reach lengths of 45-60mm, while adult males are generally smaller, measuring around 35-45mm.', '2. color: pseudomantis albofimbriata can vary in color from light green to brown, allowing them to blend in with their surroundings.', '3. wings: both males and females have wings that cover their entire abdomen. the wings of adult males are fully developed and functional, while the wings of adult females are shorter and not suitable for flying.', '4. pronotum: the pronotum (the plate-like structure covering the thorax) is relatively long and narrow. it has a raised central ridge and is adorned with white or pale-colored edges, giving it a distinctive appearance.', '5. eyes: like other mantises, pseudomantis albofimbriata has large, compound eyes that provide a wide field of vision. their eyes can be a shade of green or brown, depending on the individual.', '6. raptorial forelegs: the front legs of pseudomantis albofimbriata are adapted for catching prey, with sharp spines and a powerful grip. these legs are folded in a praying position when not in use, giving the mantis its common name.', '7. abdomen: the abdomen of pseudomantis albofimbriata is elongated and somewhat flattened, with distinct segmentation.', '8. antennae: the antennae of pseudomantis albofimbriata are relatively short and filiform (thread-like).', '9. sexual dimorphism: males and females can be distinguished by their size, with females being larger and having shorter wings. males also have more segments in their abdomen.', 'these features can help you identify pseudomantis albofimbriata in the wild or in captivity.']",Bright green preying mantis. Orange eyes.
Nepytia canosaria,Lepidoptera,Geometridae,False Hemlock Looper Moth,"['nepytia canosaria, commonly known as the false hemlock looper or hemlock looper, is a species of moth in the family geometridae. the following are some morphological identifying features of nepytia canosaria:', '1. wingspan: adult moths have a wingspan of about 25-35 mm.', '2. coloration: the color of the forewings varies from pale yellowish-brown to grayish-brown or reddish-brown, with a slightly darker median band. the hindwings are paler than the forewings, with a similar pattern.', '3. wing pattern: the wings have a distinct pattern, with wavy antemedial and postmedial lines, as well as a discal spot on the forewings. the hindwings also have a discal spot and a postmedial line.', '4. body: the body of the moth is slender and covered with scales that match the color of the wings.', '5. antennae: the antennae are bipectinate (comb-like) in males and filiform (thread-like) in females.', '6. legs: the legs are relatively long and slender, with spurs on the tibiae.', '7. larval stage: the caterpillars are green with white longitudinal stripes, and they have a hump on the back of the last abdominal segment. the head is green with a v-shaped marking.', 'to conclusively identify nepytia canosaria, it is essential to examine the genitalia of the specimen, as there are other species with similar appearances.']",white moth. black zig-zag lines across wings
Lygaeus turcicus,Hemiptera,Lygaeidae,false milkweed bug,"['lygaeus turcicus, also known as the turkish ground bug, is a species of seed bug in the family lygaeidae. here are some morphological identifying features of lygaeus turcicus:', '1. size: lygaeus turcicus is a medium-sized bug, with adults typically measuring between 8 to 10 mm in length.', '2. coloration: the body of lygaeus turcicus is predominantly black, with contrasting red or orange markings. the dorsal side of the thorax (pronotum) usually has two red or orange longitudinal stripes, while the forewings (hemelytra) have a red or orange cuneus (triangular-shaped tip) and a red or orange transverse band across the membrane.', '3. body shape: lygaeus turcicus has a somewhat elongated and flattened body shape, with a slightly convex dorsal side.', '4. head: the head of lygaeus turcicus is relatively small and narrow compared to the rest of the body, with large, widely spaced compound eyes and a short, stout rostrum (beak) for piercing and sucking plant fluids.', '5. legs: lygaeus turcicus has six legs, with the hind pair being longer and more robust than the other two pairs. the legs are mostly black, with some red or orange markings on the femora (thighs) and tibiae (shins).', '6. antennae: the antennae of lygaeus turcicus are long and slender, composed of four segments. they are mostly black, with the basal segment sometimes showing red or orange coloration.', '7. wings: lygaeus turcicus has two pairs of wings. the forewings (hemelytra) are thickened and leathery at the base, with a membranous tip, while the hind wings are fully membranous and folded beneath the forewings when at rest.', '8. nymphs: immature stages (nymphs) of lygaeus turcicus are smaller and wingless, with a similar color pattern to the adults but often with more extensive red or orange markings.', 'these features can help in identifying lygaeus turcicus among other seed bugs. however, it is essential to consult an expert or use a comprehensive identification guide for accurate identification, as there may be similar-looking species in the same geographic region.']",Black and red bug. Red-orange Thorax with two black spots. Forewings with two black markings on side and black tip. Filiform antennae.
Leptinotarsa juncta,Coleoptera,Chrysomelidae,false potato beetle,"['leptinotarsa juncta, commonly known as the false potato beetle or the eastern potato beetle, is an insect species in the family chrysomelidae. here are some morphological identifying features of leptinotarsa juncta:', '1. size: adult false potato beetles are approximately 8-12 mm in length.', '2. coloration: adults have a yellow-orange to orange body with black markings. they have ten black stripes on their elytra (hardened forewings), with the outer two stripes being interrupted by a yellow or orange spot.', '3. head: the head is black with a yellow-orange to orange pronotum (plate-like structure that covers the thorax) with two black spots.', '4. antennae: the antennae are relatively short and have 11 segments, with the last three segments being slightly enlarged.', '5. legs: the legs are yellow-orange to orange with black femora (the upper, thickened part of the legs).', '6. larvae: false potato beetle larvae are humpbacked and have a dark head capsule. their body is yellowish-gray to dark gray with rows of black spots on each side.', '7. eggs: the eggs are elongated and yellowish-orange, laid in clusters on the underside of host plant leaves.', 'it is essential to note that leptinotarsa juncta can be easily confused with the colorado potato beetle (leptinotarsa decemlineata). however, the interrupted outer stripes on the elytra and the black spots on the pronotum are distinguishing features of the false potato beetle.']",Brown beetle with black stripes
