,Scientific Name,Common Name,Order,Family
128,Digrammia gnophosaria,Hollow-Spotted Angle Moth,Lepidoptera,Geometridae
129,Pyrrhosoma nymphula,The Large red damselfly,Odonata,Coenagrionidae
130,Merodon equestris,"Narcissus bulb fly, greater bulb fly, large bulb fly, large Narcissus fly",Diptera,Syrphidae
131,Feltia herilis,"the herald dart, Master's dart,",Lepidoptera,Noctuidae
132,Epilachna mexicana,Mexican Bean Beetle,Coleoptera,Coccinellidae
133,Argia apicalis,Blue-Fronted Dancer,Odonata,Coenagrionidae
134,Striacosta albicosta,Western Bean Cutworm,Lepidoptera,Noctuidae
135,Amphipsalta zelandica,Chorus Cicada,Hemiptera,Cicadidae
136,Acrida ungarica,"Cone-Headed Grasshopper, Nosed grasshopper, 
Mediterranean Slant-Faced Grasshopper",Orthoptera,Acrididae
137,Libelloides coccajus,owly sulphur,Neuroptera,Myrmeleontidae
138,Brachymesia gravida,Four-spotted Pennant ,Odonata,Libellulidae
139,Rhionaeschna mutata,	Spatterdock Darner,Odonata,Aeshnidae
140,Lymantria dispar,european gypsy moth,Lepidoptera,Erebidae
141,Orthetrum albistylum,white-tailed skimmer,Odonata,Libellulidae
142,Chauliodes pectinicornis,Summer Fishfly,Megaloptera,Corydalidae
143,Papilio bianor,"the Common peacock, Chinese peacock black swallowtail emerald, Chinese peacock",Lepidoptera,Papilionidae
144,Charadra deridens,"(laugher, marbled tuffet moth",Lepidoptera,Noctuidae
145,Phoebis agarithe,Large Orange Sulphur,Lepidoptera,Pieridae
146,Callopistria cordata,silver-spotted fern moth,Lepidoptera,Noctuidae
147,Crambidia pallida,pale lichen moth,Lepidoptera,Erebidae
148,Scaeva affinis,White-bowed smoothwing,Diptera,Syrphidae
149,Hypoprepia fucosa,Painted lichen moth,Lepidoptera,Erebidae
150,Andrena cineraria,Ashy Mining Bee,Hymenoptera,Andrenidae
151,Poecilocoris lewisi,the clown stink bug,Hemiptera,Scutelleridae
152,Brachymesia furcata,red-tailed pennant,Odonata,Libellulidae
153,Anticarsia gemmatalis,Velvetbean Caterpillar,Lepidoptera,Erebidae
154,Graphium sarpedon,Common Bluebottle,Lepidoptera,Papilionidae
155,Catocala ultronia,Dark red underwing,Lepidoptera,Erebidae
156,Hebomoia glaucippe,Great orange-tip,Lepidoptera,Pieridae
157,Cordulegaster dorsalis,Pacific spiketail,Odonata,Cordulegastridae
158,Brenthis daphne, marbled fritillary,Lepidoptera,Nymphalidae
159,Chlosyne gabbii,Gabb's checkerspot,Lepidoptera,Nymphalidae
160,Zale minerea,,Lepidoptera,Erebidae
161,Xanthorhoe montanata,Silver-Ground Carpet,Lepidoptera,Geometridae
162,Chrysochraon dispar,Large gold grasshopper,Orthoptera,Acrididae
163,Prolimacodes badia,skiff moth,Lepidoptera,Limacodidae
164,Glyphodes onychinalis,,Lepidoptera,Crambidae
165,Orthosia cerasi,The common Quaker,Lepidoptera,Noctuidae
166,Trigonopeltastes delta,"Delta Flower Scarab, D Beetle",Coleoptera,Scarabaeidae
167,Lampyris noctiluca,common glow-worm,Coleoptera,Lampyridae
168,Volucella inanis,Hoverfly,Diptera,Syrphidae
169,Dasypodia cymatodes,"Northern Old Lady Moth,
 Northern Wattle Moth",Lepidoptera,Erebidae
170,Hypocysta metirius,common brown ringlet,Lepidoptera,Nymphalidae
171,Leptophobia aripa,"common green-eyed white, mountain white butterfly",Lepidoptera,Pieridae
172,Myrmecia pilosula,"Jack Jumper Ant, Jack Jumper, Jumping Jack, Hopper Ant, Jumper Ant",Hymenoptera,Formicidae
173,Rhionaeschna californica,California darner,Odonata,Aeshnidae
174,Scudderia septentrionalis,northern bush katydid,Orthoptera,Tettigoniidae
175,Ellychnia corrusca,Winter Firefly,Coleoptera,Lampyridae
176,Cupido comyntas,Eastern-tailed blue,Lepidoptera,Lycaenidae
177,Anartia amathea,"Brown Peacock, Scarlet Peacock, Red Peacock",Lepidoptera,Nymphalidae
178,Orgyia antiqua,European tussock moth,Lepidoptera,Erebidae
179,Asterocampa celtis,Hackberry Emperor,Lepidoptera,Nymphalidae
180,Nepa cinerea,Water Scorpion ,Hemiptera,Nepidae
181,Heliophorus epicles,the purple sapphire,Lepidoptera,Lycaenidae
182,Lomographa glomeraria,gray spring moth,Lepidoptera,Geometridae
183,Bombus pascuorum, Common Carder Bee,Hymenoptera,Apidae
184,Lobophora nivigerata,"powdered bigwing, two-lined aspen looper",Lepidoptera,Geometridae
185,Heteronympha merope,common brown,Lepidoptera,Nymphalidae
186,Clemensia albata,Little white lichen moth,Lepidoptera,Erebidae
187,Cuerna costalis,lateral-lined sharpshooter,Hemiptera,Cicadellidae
188,Hypena baltimoralis," the Baltimore bomolocha, Baltimore hypena",Lepidoptera,Erebidae
189,Arilus cristatus,North American Wheel Bug,Hemiptera,Reduviidae
190,Eristalis dimidiata,black-shouldered drone fly,Diptera,Syrphidae
191,Lithosia quadra,four-spotted footman,Lepidoptera,Erebidae
192,Hypena proboscidalis,the snout,Lepidoptera,Erebidae
193,Diapheromera femorata,Common Walkingstick,Phasmida,Diapheromeridae
194,Microcrambus elegans,Elegant Grass-Veneer Moth,Lepidoptera,Crambidae
195,Euphyes dion,Dion skipper ,Lepidoptera,Hesperiidae
196,Patania ruralis,mother of pearl moth,Lepidoptera,Crambidae
197,Hyalophora cecropia,"ecropia moth, cecropia silkmoth, robin moth",Lepidoptera,Saturniidae
198,Brechmorhoga mendax,Pale-faced Clubskimmer,Odonata,Libellulidae
199,Jadera haematoloma,"red-shouldered bug, goldenrain-tree bug, soapberry bug ",Hemiptera,Rhopalidae
200,Apantesis phalerata,Harnessed Tiger Moth,Lepidoptera,Erebidae
201,Ponometia semiflava,"Yellow-cloaked Midget, The Half-Yellow",Lepidoptera,Noctuidae
202,Dolichovespula arenaria,"Aerial Yellowjacket, Snadhills Hornet, 
Common Yellow Hornet",Hymenoptera,Vespidae
203,Zizina otis,Lesser Grass Blue,Lepidoptera,Lycaenidae
204,Anthocharis sara,Sara Orangetip Butterfly,Lepidoptera,Pieridae
205,Mellilla xanthometata,Orange wing,Lepidoptera,Geometridae
206,Ancyloxypha numitor,Least Skipper ,Lepidoptera,Hesperiidae
207,Phyciodes graphica,"Vesta, Graphic Crescent",Lepidoptera,Nymphalidae
208,Teleogryllus commodus,Black Field Cricket,Orthoptera,Gryllidae
209,Glaucopsyche alexis,green-underside blue,Lepidoptera,Lycaenidae
210,Agrypnus murinus,Click Beetle ,Coleoptera,Elateridae
211,Eurytides marcellus,zebra swallowtail,Lepidoptera,Papilionidae
212,Periplaneta fuliginosa,smokybrown cockroach,Blattodea,Blattidae
213,Hermeuptychia hermes,Hermes satyr,Lepidoptera,Nymphalidae
214,Aeshna tuberculifera,Black-Tipped Darner,Odonata,Aeshnidae
215,Junonia natalica,Black-Tipped Darner,Lepidoptera,Nymphalidae
216,Ichneutica mutans,New Zealand cutworm,Lepidoptera,Noctuidae
217,Buprestis aurulenta,"golden jewel beetle, golden buprestid,",Coleoptera,Buprestidae
218,Cheilomenes sexmaculata,Zigzag ladybird beetle,Coleoptera,Coccinellidae
219,Brunia antica,,Lepidoptera,Erebidae
220,Euphyia intermediata,Sharp-angled carpet,Lepidoptera,Geometridae
221,Speyeria atlantis,the Atlantis fritillary,Lepidoptera,Nymphalidae
222,Hystricia abrupta,Tachinid Fly,Diptera,Tachinidae
223,Euclea delphinii,spiny slug caterpillar,Lepidoptera,Limacodidae
224,Lygaeus kalmii,"small milkweed bug, common milkweed bug",Hemiptera,Lygaeidae
225,Euschistus tristigmus,dusky stink bug,Hemiptera,Pentatomidae
226,Delias eucharis,Common Jezebel,Lepidoptera,Pieridae
227,Acraea issoria,Yellow Coster,Lepidoptera,Nymphalidae
228,Matrona cyanoptera,Formosan Jeweling,Odonata,Calopterygidae
229,Elophila icciusalis,Pondside Pyralid Moth,Lepidoptera,Crambidae
230,Cigaritis lohita,long-banded silverline,Lepidoptera,Lycaenidae
231,Ischnura perparva,western forktail,Odonata,Coenagrionidae
232,Speyeria aglaja,Dark green fritillary,Lepidoptera,Nymphalidae
233,Cisseps fulvicollis,yellow collared scape moth,Lepidoptera,Erebidae
234,Augochlora pura,pure gold-green sweat bee,Hymenoptera,Halictidae
235,Leuconycta diphteroides,green leuconycta moth,Lepidoptera,Noctuidae
236,Toxomerus marginatus,Margined Calligrapher,Diptera,Syrphidae
237,Ochrogaster lunifer,Bag Shelter Moth,Lepidoptera,Notodontidae
238,Amyna stricta,Eight-Spot Moth,Lepidoptera,Noctuidae
239,Austroargiolestes icteromelas,"common flatwing, Australian flatwing.",Odonata,Argiolestidae
240,Apis cerana,"Eastern Honey Bee, Asiatic Honey Bee, 
Asain Honey Bee",Hymenoptera,Apidae
241,Schizura ipomaeae," the morning-glory prominent moth,  false unicorn caterpillar",Lepidoptera,Notodontidae
242,Pareronia hippia,"common wanderer, indian wanderer butterfly",Lepidoptera,Pieridae
243,Nomophila noctuella,Rush Veneer,Lepidoptera,Crambidae
244,Pyronia tithonus,"The gatekeeper, hedge brown",Lepidoptera,Nymphalidae
245,Pholidoptera griseoaptera,Dark bush-cricket,Orthoptera,Tettigoniidae
246,Orthetrum cancellatum,Black-tailed skimmer,Odonata,Libellulidae
247,Andrena wilkella,Wilke's Mining Bee,Hymenoptera,Andrenidae
248,Clogmia albipunctata,"bathroom moth midge,bathroom moth fly,
drain fly",Diptera,Psychodidae
249,Ictinogomphus rapax,Indian Common Clubtail,Odonata,Gomphidae
250,Lophocampa maculata,spotted tussock moth,Lepidoptera,Erebidae
251,Zizeeria karsandra, Dark Grass Blue,Lepidoptera,Lycaenidae
252,Gnophaela vermiculata,police-car moth or green lattice,Lepidoptera,Erebidae
253,Pompeius verna,Little Glassywing ,Lepidoptera,Hesperiidae
254,Pyrausta tyralis,"loving pyrausta moth,coffee-loving pyrausta moth",Lepidoptera,Crambidae
255,Hypercompe scribonia,giant woolly bear,Lepidoptera,Erebidae
256,Daktulosphaira vitifoliae,Grape phylloxera,Hemiptera,Phylloxeridae
257,Charaxes bernardus,Tawny rajah,Lepidoptera,Nymphalidae
258,Gonocerus acuteangulatus,the box bug,Hemiptera,Coreidae
259,Plecia nearctica,"Lovebugs,March flies, double-headed bugs, honeymoon flies, united bugs",Diptera,Bibionidae
260,Atolmis rubricollis,red-necked footman,Lepidoptera,Erebidae
261,Danaus gilippus,Queen butterfly,Lepidoptera,Nymphalidae
262,Catocala nupta,Red underwing,Lepidoptera,Erebidae
263,Hemieuxoa rudens,,Lepidoptera,Noctuidae
264,Acraea horta,Garden Acraea ,Lepidoptera,Nymphalidae
265,Manduca sexta,Tobacco Hornworm,Lepidoptera,Sphingidae
266,Amblyscirtes celia,"Celia's Roadside Skipper, Roadside Rambler ",Lepidoptera,Hesperiidae
267,Hamadryas feronia,Variable Cracker,Lepidoptera,Nymphalidae
268,Chrysomela populi,Poplar leaf beetle,Coleoptera,Chrysomelidae
269,Cosmia calami,american dun-bar moth,Lepidoptera,Noctuidae
270,Cyclophora linearia,clay triple-lines,Lepidoptera,Geometridae
271,Epitheca canis,Beaverpond Baskettail,Odonata,Corduliidae
272,Trithemis pallidinervis,"Long-legged Marsh Glider, Dancing Dropwing",Odonata,Libellulidae
273,Deidamia inscriptum,Lettered Sphinx,Lepidoptera,Sphingidae
274,Leptotes marina,"marine blue, striped blue butterfly",Lepidoptera,Lycaenidae
275,Clostera albosigma,sigmoid prominent,Lepidoptera,Notodontidae
276,Diabrotica balteata,Banded Cucumber Beetle,Coleoptera,Chrysomelidae
277,Oiceoptoma thoracicum,Red-breasted Carrion Beetle,Coleoptera,Silphidae
278,Digrammia atrofasciata,Broad-Lined Angle Moth,Lepidoptera,Geometridae
279,Camponotus pennsylvanicus,black carpenter ant,Hymenoptera,Formicidae
280,Deraeocoris ruber,Mirid Bug,Hemiptera,Miridae
281,Chrysodeixis includens,soybean looper moth,Lepidoptera,Noctuidae
282,Operophtera bruceata,bruce spanworm,Lepidoptera,Geometridae
283,Dicromantispa sayi,Say's Mantidfly,Neuroptera,Mantispidae
284,Photinus pyralis,"common eastern firefly, big dipper firefly",Coleoptera,Lampyridae
285,Agapanthia villosoviridescens,Golden-Bloomed Grey Beetle,Coleoptera,Cerambycidae
286,Ladona deplanata,Blue corporal,Odonata,Libellulidae
287,Nehalennia gracilis,Sphagnum Sprite,Odonata,Coenagrionidae
288,Neacoryphus bicrucis,Whitecrossed Seed Bug,Hemiptera,Lygaeidae
289,Banasa dimidiata,green burgundy stink bug,Hemiptera,Pentatomidae
290,Bulia deducta,,Lepidoptera,Erebidae
291,Declana floccosa,"Forest Semilooper, Manuka Moth",Lepidoptera,Geometridae
292,Chrysomya megacephala,oriental latrine fly,Diptera,Calliphoridae
293,Pseudothemis zonata,Pied Skimmer.,Odonata,Libellulidae
294,Chionodes mediofuscella,black -smudged chionodes moth,Lepidoptera,Gelechiidae
295,Archimantis latistyla,Large Brown Mantis,Mantodea,Mantidae
296,Chrysochus cobaltinus,"blue milkweed beetle, cobalt milkweed
beetle",Coleoptera,Chrysomelidae
297,Junonia hierta,Yellow pansy,Lepidoptera,Nymphalidae
298,Potanthus omaha,the lesser dart,Lepidoptera,Hesperiidae
299,Aphantopus hyperantus,Ringlet,Lepidoptera,Nymphalidae
300,Archips purpurana,Omnivorous Leafroller Moth,Lepidoptera,Tortricidae
301,Phalaenostola larentioides,black-banded owlet moth,Lepidoptera,Erebidae
302,Agrotis infusa,Bogong Moth,Lepidoptera,Noctuidae
303,Euploea tulliolus,"Purple Crow, Eastern Brown Crow",Lepidoptera,Nymphalidae
304,Acrolophus popeanella,Clemens' Grass Tubeworm Moth,Lepidoptera,Tineidae
305,Graphium agamemnon,Tailed Jay,Lepidoptera,Papilionidae
306,Eristalis flavipes,"orange-legged drone fly, ",Diptera,Syrphidae
307,Sympetrum pallipes,Striped Meadowhawk,Odonata,Libellulidae
308,Chlosyne palla,Northern checkerspot,Lepidoptera,Nymphalidae
309,Alaus oculatus,Eastern Eyed Click Beetle,Coleoptera,Elateridae
310,Macrothylacia rubi,fox moth,Lepidoptera,Lasiocampidae
311,Uresiphita reversalis,Genista Broom Moth,Lepidoptera,Crambidae
312,Microcentrum retinerve,Lesser Angled-winged Katydid,Orthoptera,Tettigoniidae
313,Epicallima argenticinctella,Orange-Headed Epicallima Moth,Lepidoptera,Oecophoridae
314,Nisitrus vittatus,Orange-Headed Epicallima Moth,Orthoptera,Gryllidae
315,Hofmannophila pseudospretella,Brown house moth,Lepidoptera,Oecophoridae
316,Hemaris diffinis,Snowberry clearwing,Lepidoptera,Sphingidae
317,Callirhytis seminator,wool sower,Hymenoptera,Cynipidae
318,Smerinthus cerisyi,One-eyed sphinx,Lepidoptera,Sphingidae
319,Satyrium edwardsii,Edwards' Hairstreak,Lepidoptera,Lycaenidae
320,Anicla infecta,Green Cutworm Moth,Lepidoptera,Noctuidae
321,Bittacomorpha clavipes, phantom crane fly,Diptera,Ptychopteridae
322,Plagodis phlogosaria,Straight-lined Plagodis,Lepidoptera,Geometridae
323,Orthosoma brunneum,Brown Prionid,Coleoptera,Cerambycidae
324,Acronicta insita,"Large Gray Dagger, Fingered Dagger",Lepidoptera,Noctuidae
325,Libellula auripennis,golden-winged skimmer,Odonata,Libellulidae
326,Ctenolepisma lineata,four-lined silverfish,Zygentoma,Lepismatidae
327,Arigomphus furcifer,Lilypad Clubtail,Odonata,Gomphidae
328,Cordulegaster maculata,twin spotted spiketail,Odonata,Cordulegastridae
329,Lon hobomok,hobomok skipper,Lepidoptera,Hesperiidae
330,Pacarina puella,Little Mesquite Cicada,Hemiptera,Cicadidae
331,Dicymolomia julianalis,Julia's Dicymolomia Moth,Lepidoptera,Crambidae
332,Rainieria antennaepes,stilt-legged flies,Diptera,Micropezidae
333,Hemicordulia australiae,Australian emerald,Odonata,Corduliidae
334,Metalectra discalis,Common Fungus Moth,Lepidoptera,Erebidae
335,Scotopteryx chenopodiata,the shaded broad-bar,Lepidoptera,Geometridae
336,Hyalophora columbia,The Columbia Silkmoth,Lepidoptera,Saturniidae
337,Paratrechina longicornis,longhorn crazy ant,Hymenoptera,Formicidae
338,Megacopta cribraria,"bean plataspid, kudzu bug, globular stink bug and lablab bug",Hemiptera,Plataspidae
339,Callophrys rubi, green hairstreak,Lepidoptera,Lycaenidae
340,Colletes inaequalis,unequal cellophane bees,Hymenoptera,Colletidae
341,Anthophora urbana,Anthophorine Bee,Hymenoptera,Apidae
342,Chlosyne acastus,Sagebrush checkerspot,Lepidoptera,Nymphalidae
343,Xylocopa virginica,Eastern carpenter bee,Hymenoptera,Apidae
344,Psyllobora vigintiduopunctata,22-spot ladybird,Coleoptera,Coccinellidae
345,Erythromma viridulum,Small Red Eyed Damselfly,Odonata,Coenagrionidae
346,Aeshna palmata,Paddle-Tailed Darner,Odonata,Aeshnidae
347,Megacyllene robiniae,Locust Borer,Coleoptera,Cerambycidae
348,Herpetogramma bipunctalis,southern beet webworm moth,Lepidoptera,Crambidae
349,Chlosyne ehrenbergii,"White-rayed checkerspot, white-rayed
patch, Ehrenberg's patch",Lepidoptera,Nymphalidae
350,Tyria jacobaeae,Cinnabar Moth,Lepidoptera,Erebidae
351,Jamides alecto,Metallic cerulean,Lepidoptera,Lycaenidae
352,Libellula saturata,flame skimmer,Odonata,Libellulidae
353,Notocrypta paralysos,"Banded Demon, Common Banded Demon Butterfly",Lepidoptera,Hesperiidae
354,Orthetrum caledonicum,blue skimmer,Odonata,Libellulidae
355,Bicyclus safitza,"common bush brown, common savanna bush brown",Lepidoptera,Nymphalidae
356,Acronicta americana,American Dagger Moth,Lepidoptera,Noctuidae
357,Ceriagrion auranticum,orange-tailed sprite,Odonata,Coenagrionidae
358,Psaltoda plaga,Black Prince Cicada,Hemiptera,Cicadidae
359,Pyrrhocoris apterus,firebug,Hemiptera,Pyrrhocoridae
360,Brachystola magna,"plains lubber, western lubber",Orthoptera,Romaleidae
