Scientific.Name,Common.Name,Name,English.Natural.language.captions,Scientific.terminology,ChatGPT,count
Catocala vidua,Widow underwing,Naresh,Grey colored moth with brownish shade on the wings ,Forewing of adults are pale grey with black arc ,"Catocala vidua, also known as the widowed underwing, is a species of moth in the Erebidae family. It is native to North America and is found in a variety of habitats, including forests, fields, and gardens. The adult moth has a wingspan of about 3 inches (7.6 cm) and is generally brown or black in color with distinctive white and orange markings. The front wings have a series of white and orange bands, and the hindwings are mostly brown with an orange border. The underside of the wings is a mottled brown color with white and orange markings. The widowed underwing is active at night and is attracted to lights. It is known for its distinctive courtship behavior, in which the male performs a series of aerial displays to attract a mate.",533
Acanthocephala alata,"Leaf-footed bugs, pod bugs, squash bugs ,rough stink bug",Naresh,Light grey colored bug with a large dark spot.,Large dark spot in the center of pronotum and dark first to third antennal segments,"Acanthocephala alata is a species of parasitic worm that is found in the intestines of freshwater fish. It is a small, slender worm, measuring up to 1.5 mm in length. Its body is divided into three distinct regions: the proboscis, the neck, and the trunk. The proboscis is covered in spines and hooks, which it uses to attach itself to the intestinal wall of its host. The neck is short and narrow, and the trunk is long and cylindrical. The body is usually a pale yellow or white color, and the spines and hooks are usually a darker yellow or brown.",868
Feralia comstocki,"Comstock's sallow,",Naresh,Light green colored moth with black patterns on wings,Distinctive black patches on forewing ,"Feralia comstocki, also known as Comstock's sphinx, is a species of moth in the Sphingidae family. It is native to North America and is found in a variety of habitats, including forests, fields, and gardens. The adult moth has a wingspan of about 3 inches (7.6 cm) and is generally brown or black in color with distinctive white and orange markings. The front wings have a series of white and orange bands, and the hindwings are mostly white with an orange border. The underside of the wings is a mottled brown color with white and orange markings. The Comstock's sphinx is active at night and is attracted to lights. It is known for its distinctive courtship behavior, in which the male performs a series of aerial displays to attract a mate.",653
Iridomyrmex purpureus,Meat ant,Naresh,reddish-brown ants,"Reddish-black thorax, abdomen with red legs","Iridomyrmex purpureus, also known as the purple meat ant, is a species of ant in the Formicidae family. It is native to Australia and is found in a variety of habitats, including forests, fields, and gardens. The adult ant has a length of about 0.25 inches (0.6 cm) and is generally red or brown in color with distinctive black markings. The thorax and abdomen are covered in short hairs, and the wings are transparent. The purple meat ant is active during the day and is often found on the ground, where it forages for food. It is known for its aggressive behavior and its ability to defend itself and its nest from predators.",1620
Mythimna oxygala,"Lesser Wainscot ,Bog Grass Moth",Naresh,Straw-colored moth with light brown vertical streaks in wings,"light tan or yellowish forewings, and three black spots arranged in triangular pattern in middle of wing","Mythimna oxygala, also known as the northern wainscot or northern wainscot moth, is a species of moth in the family Noctuidae, which is a large and diverse group of insects known for their prominent wings and their role as important pollinators and herbivores in many ecosystems. This species is native to Europe, where it is found in a variety of habitats including forests, grasslands, and wetlands. The adult moths of M. oxygala are small to medium in size, with a wingspan of about 20-30 mm. They are generally brown or reddish-brown in color, with a pattern of pale markings on their wings. The wings are transparent and have a distinctive, elongated shape. The eyes are large and widely spaced, and the legs are thin and elongated. The larvae of M. oxygala are small and slender, with a pale green or yellowish body and a dark brown head. They are typically found feeding on the leaves and stems of a variety of plants, and can cause significant damage to these plants if left unchecked. As adults, M. oxygala are known for their diet of nectar from a variety of flowers, and are important pollinators of a wide range of plants. They are nocturnal and are typically found resting during the day, and are active at night in search of food.",805
Caenurgia chloropha,vetch looper moth,Naresh,Greyish brown colored moth,"Forewing pale grayish brown in male, orangish yellow-brown in female. Hindwing yellowish with two grey bands in both sexes","Caenurgia chloropha is a species of moth in the family Noctuidae. It is found in North America, including parts of Canada and the United States. The adult moth has a wingspan of about 1.5 inches (3.8 cm). The wings are reddish-brown in color, with a series of dark, wavy lines running across them. The body is yellow-brown in color, with a row of black spots running down the center of the thorax. The larvae of C. chloropha are green in color and can reach lengths of up to 1.5 inches (3.8 cm). They are often found feeding on the leaves of various plants, including grasses and sedges.",1360
Trithemis pallidinervis,"Long-legged Marsh Glider, Dancing Dropwing",Naresh,Dragon fly with yellowish brown patterns with transparent wings,"Medium-sized yellowish brown dragonfly with long legs; yellow or pale brown face with reddish brown eyes; Legs are black, long, and spidery.","Trithemis pallidinervis is a medium-sized dragonfly with a wingspan of about 4 cm. Its body is a pale yellowish-brown color, and its wings are a darker brown with a yellowish-brown border. Its eyes are a bright green color, and its legs are a pale yellowish-brown. Its abdomen is a pale yellowish-brown with a dark brown stripe running down the center. Its wings have a distinctive pattern of dark brown spots and stripes.",784
Chlosyne harrisii,Harris's checkerspot,Naresh,Orange color winged butterfly with black markings on wings,"Upper side of the wing is orange with black markings. Underside of the wing has a single red-orange stripe and a reddish-orange, white and black marked pattern on hindwing",Chlosyne harrisii is a medium-sized butterfly with a wingspan of approximately 2.5 inches. The upper side of the wings is a bright orange-red color with black spots and a white border. The underside of the wings is a duller orange-brown color with white spots and a black border. The antennae are black with white tips.,1067
Pelopidas mathias,"small branded swift,lesser millet skipper,rice skipper",Naresh,Brown colored moth with white discal spots on upper wings,"forewing with two small yellowish semi-transparent spots within the end of cell, hindwing with one or two very indistinct pale discal spots",Pelopidas mathias is a small butterfly with a wingspan of about 2.5 cm. The upper side of the wings is a bright orange-brown color with a black border and a white spot near the tip of the forewing. The underside of the wings is a pale yellow-brown color with a white band and a black border. The body is black with white spots on the abdomen.,615
Melipotis indomita,Indomitable Graphic Moth,Naresh,Brown moth with markings on wings,Brown moth with V shaped marking on forewing and grey hindwings. Dark brown bulged eyes,"Melipotis indomita is a species of moth in the family Erebidae. It is found in North America, including parts of the United States and Canada. The adult moth has a wingspan of about 1.5 inches (3.8 cm). The wings are brown in color, with a series of dark, wavy lines running across them. The body is yellow-brown in color, with a row of black spots running down the center of the thorax. The larvae of M. indomita are green in color and can reach lengths of up to 1.5 inches (3.8 cm). They are often found feeding on the leaves of various plants, including grasses and sedges.",3150
Hypagyrtis unipunctata,"the one-spotted variant moth, white spot",Naresh,Yellowish brown moth,"Forewings , hindwings are yellowish brown with mosaic specks","Hypagyrtis unipunctata, also known as the one-spotted variant, is a species of moth in the Geometridae family. It is native to North America and is found in a variety of habitats, including forests, fields, and gardens. The adult moth has a wingspan of about 1.5 inches (3.8 cm) and is generally brown or black in color with distinctive white and orange markings. The front wings have a series of white and orange bands, and the hindwings are mostly brown with an orange border. The underside of the wings is a mottled brown color with white and orange markings. The one-spotted variant is active at night and is attracted to lights. It is known for its distinctive courtship behavior, in which the male performs a series of aerial displays to attract a mate.",1206
Erythromma najas,Red-eyed damselfly,Naresh,long slender tailed damselfly with red eyes and transparent wings,small damselfly with predominantly black with iridescent blue markings and red eyes,"Erythromma najas is a small, slender dragonfly species with a length of about 2.5 cm. Its body is a metallic green color with a yellowish-brown abdomen. Its eyes are a bright red color, and its wings are transparent with a yellowish-brown tint. Its legs are long and thin, and its antennae are short and thin.",1895
Pompeius verna,Little Glassywing ,Naresh,Reddish-brown colored moth with yellow spots on wings,"reddish brown with a very faint spot band on the hindwing; large, nearly square white spot in the middle of the forewing on female but in males rectangular spot","I'm sorry, but I am unable to find any information on a species called ""Pompeius verna."" It is possible that you have misspelled the name of the species or that it is not a valid scientific name. It is important to use the correct scientific name when looking up information about a particular species, as different organisms may have common names that are similar or even identical, but have different scientific names. If you provide me with more information or clarify what you are looking for, I will do my best to help you.",2117
Euploea mulciber,Striped Blue Crow,Naresh,light to dark brown colored butterflies with glossy blue color patch with white spots on upper portion of the wings,"Hindwing ovate. Upper side of male dark brown glossed with brilliant blue; The female is a lighter brown, forewing only glossed with blue on the disc",Euploea mulciber is a medium-sized butterfly with a wingspan of approximately 5 cm. The upper side of the wings is black with a white band running across the middle and a white spot near the tip of each forewing. The underside of the wings is brown with white spots and a white band running across the middle. The body is black with white spots on the abdomen.,888
Gomphus vulgatissimus,common club tail,Naresh,Dark black color dragonfly with light green/yellow color patches and transparent black lined wings,dark abdomen with a green or yellow line down full length except for segments 8 to 10,"Gomphus vulgatissimus, also known as the common clubtail, is a species of dragonfly in the family Gomphidae. It is native to Europe, Asia, and North America, and is found in a variety of habitats including forests, grasslands, and wetlands. The adult dragonflies of G. vulgatissimus are small to medium in size, with a body length of about 20-30 mm and a wingspan of about 30-40 mm. They are generally green or brown in color, with a pattern of pale markings on their thorax and abdomen. The wings are transparent and have a distinctive, elongated shape. The eyes are large and widely spaced, and the legs are thin and elongated. Male G. vulgatissimus can be distinguished from females by the presence of claspers at the end of the abdomen, which are used to grasp the female during mating. The larvae of G. vulgatissimus are aquatic, and are typically found in shallow, stagnant water bodies such as ponds, marshes, and bogs. They are elongated and slender, with a brown or greenish-brown body and a pair of gills at the end of the abdomen. They feed on small aquatic insects and other invertebrates.As adults, G. vulgatissimus are known for their diet of nectar from a variety of flowers, and are important pollinators of a wide range of plants. They are typically active during the day, and are often found basking in the sun or flying low over the ground in search of food.",1592
Morpho helenor,"Common Blue Morpho, Helenor Blue Morpho",Naresh,Brown butterfly with Blue shade on upper side of wings and eyespots on lower side,"Broad vertical bands of brilliant blue on their uppersides,by distinctive white, black, yellow, red concentric rings form the ocelli on their olive-brown underside hindwings","Morpho helenor is a large, tropical butterfly with a wingspan of up to 8 inches (20 cm). The upper side of the wings is a bright, iridescent blue, while the underside is a dull brown with white spots. The body is black with white spots and the antennae are black with white tips.",1191
Andrena fulva,Tawny Mining Bee,Naresh,Bee covered with reddish-brown hairs ,Female covered with fox-red hair on dorsal surface of its thorax and abdomen and black hair on its head and ventral surface. male is less distinctive,"Andrena fulva is a small bee species, measuring between 8-10 mm in length. It has a black body with yellow markings on the thorax and abdomen. Its wings are transparent and its legs are yellow. Its antennae are black and its eyes are reddish-brown. Its head is black and its mandibles are yellow.",1986
Pyrausta orphisalis,"orange mint moth, orange-spotted pyrausta,",Naresh,Brown moth with orange spots on the wings,"Dark brown moth with a wide, pale yellowish, pale yellowish discal spot on both fore and hind wings above.","Pyrausta orphisalis is a small moth species with a wingspan of about 12-15 mm. Its forewings are yellowish-brown in color, with a dark brown band running along the outer edge. The hindwings are a pale yellowish-brown. Its antennae are short and thread-like. Its body is slender and elongated.",843
Digitonthophagus gazella,"Brown Dung Beetle, Gazella Scarab",Naresh,Brown color beetle,"Oval shaped brownish body, brown elytra often has cloudy markings, male with two short horns.","Digitonthophagus gazella is a species of dung beetle in the family Scarabaeidae. It is native to Africa and is widely distributed throughout the continent. The adult beetles are small, typically about 0.4-0.6 inches (1-1.5 cm) in length. They are dark brown or black in color, with a shiny, metallic appearance. The head and thorax are elongated and narrow, and the abdomen is rounded and covered in fine hairs. The legs are short and spiny, and the beetles have a pair of hardened, digging forelegs that they use to burrow into the soil and bury dung. The larvae of D. gazella are white and legless, and they develop inside the burrows that the adult beetles construct.",1336
Agapanthia villosoviridescens,Golden-Bloomed Grey Beetle,Naresh,Golden black color beetle,"golden-black color, with a golden bloom on its elytron and thorax","Agapanthia villosoviridescens, also known as the violet grain borer, is a species of beetle in the Cerambycidae family. It is native to Europe and is found in a variety of habitats, including forests, fields, and gardens. The adult beetle has a length of about 0.75 inches (1.9 cm) and is generally brown or black in color with distinctive violet and yellow markings. The thorax and abdomen are covered in short hairs, and the wings are transparent. The violet grain borer is active during the day and is often seen flying near flowers, where it feeds on nectar. It is known for its distinctive courtship behavior, in which the male uses its antennae to tap the female's thorax.",1913
Phyllobius pomaceus,nettle weevil,Naresh,Metallic green weevil,"Slender and elongate weevil covered with bright metallic green scales, combined with variations of gold, blue and copper color, on its elytra","Phyllobius pomaceus is a small beetle, typically measuring between 3-5mm in length. It is a dark brown color, with a slightly lighter brown head and thorax. Its antennae are short and clubbed, and its legs are short and stout. Its body is covered in short, fine hairs, and its wings are short and rounded.",1893
Aeshna mixta,Migrant Hawker,Naresh,Brown colored dragonfly with blue or golden yellow spots," ""golf-tee"" shaped mark on second segment of abdomen; Males are rather dark with a base color of brown, darkening to black. Females start out in a more reddish brown.","Aeshna mixta, also known as the Mottled Darner, is a species of dragonfly in the family Aeshnidae. It is native to North America, including parts of Canada and the United States. The adult dragonflies are large, with a wingspan of about 3.5 inches (9 cm). They have a long, slender body that is green or brown in color, with distinctive blue or green markings on the thorax and abdomen. The wings are clear, with dark veins and a triangular shape. The head is large and triangular, with large, compound eyes and long antennae. The legs are long and thin, and the dragonflies use them to capture and hold onto their prey, which consists primarily of insects. Aeshna mixta is a strong flier and can often be seen patrolling over bodies of water or flying in large swarms.",3040
Diaphania indica,"Cucumber Moth, Cotton Caterpillar",Naresh,white colored moth with brown borders on wings and brown hair on lower portion of the abdomen,"Adults have translucent whitish wings with broad dark brown borders; a tuft of light brown ""hairs"" on the tip of the abdomen","Diaphania indica, also known as the Melonworm or the Cotton Bollworm, is a species of moth in the family Crambidae. It is native to tropical and subtropical regions of Asia and Africa, but has been introduced to other parts of the world, including the United States, where it is considered a pest of agricultural crops, particularly cucurbits such as melons, squash, and pumpkins. The adult moth has a wingspan of about 1.5 inches (3.8 cm) and is brown or tan in color, with a series of dark, wavy lines running across the wings. The body is slender and elongated, with long antennae and a small, pointed head. The larvae of D. indica are green or brown in color and can reach lengths of up to 1.5 inches (3.8 cm). They are often found feeding on the leaves, stems, and fruit of plants, causing damage to the crops.",839
Ostrinia nubilalis,the European corn worm or European high-flyer,Naresh,Light brown colored moth with yellow colored zigzag lines on wings,"Moths are pale yellow to light brown in color, with both forewing and hind wing crossed by dark zigzag lines and bearing pale, often yellowish, patches",Ostrinia nubilalis is a small moth with a wingspan of about 1.5 inches. The forewings are yellowish-brown with a dark brown or blackish band running across the middle. The hindwings are pale yellowish-brown. The body is yellowish-brown with a black head and thorax. The antennae are thread-like and the legs are yellowish-brown.,1076
Stethophyma grossum,Large Marsh Grasshopper,Naresh,Yellowish green grasshopper with red line on legs,yellowish green to olive brown in color with bright red undersides of hind leg thighs,"Stethophyma grossum, also known as the large marsh grasshopper, is a species of grasshopper in the Acrididae family. It is native to Europe and is found in a variety of habitats, including forests, fields, and gardens. The adult grasshopper has a length of about 2 inches (5 cm) and is generally green or brown in color with distinctive black markings. The thorax and abdomen are covered in short hairs, and the wings are transparent. The large marsh grasshopper is active during the day and is often seen flying near flowers, where it feeds on nectar. It is known for its distinctive courtship behavior, in which the male uses its antennae to tap the female's thorax.",1309
Alsophila pometaria,Fall Cankerworm ,Naresh,Glossy brown moth with white irregular bands on wings,"Forewings are glossy brown and crossed with irregular white bands. Females are brownish gray, wingless",Alsophila pometaria is a medium-sized moth with a wingspan of about 2.5 inches. Its wings are a pale yellowish-brown color with a darker brown pattern of wavy lines and spots. The body is a light brown color with a yellowish-brown head and thorax. Its antennae are long and thin.,1178
Calopteryx virgo,The beautiful demoiselle,Naresh,Blue / metallic green colored damselfly with blue / yellow wings,Blue in color with green metallic shine. Last two segments of the abdomen are ventrally light pink,"Calopteryx virgo, also known as the beautiful demoiselle or green-winged demoiselle, is a species of damselfly in the family Calopterygidae. It is native to Europe, Asia, and North Africa, and is found in a variety of habitats including forests, grasslands, and wetlands. The adult damselflies of C. virgo are small to medium in size, with a body length of about 20-30 mm and a wingspan of about 30-40 mm. They are generally metallic green or blue in color, with a pattern of black markings on their thorax and abdomen. The wings are transparent and have a distinctive, elongated shape. The eyes are large and widely spaced, and the legs are thin and elongated. Male C. virgo can be distinguished from females by the presence of claspers at the end of the abdomen, which are used to grasp the female during mating. The larvae of C. virgo are aquatic, and are typically found in shallow, stagnant water bodies such as ponds, marshes, and bogs. They are elongated and slender, with a brown or greenish-brown body and a pair of gills at the end of the abdomen. They feed on small aquatic insects and other invertebrates.As adults, C. virgo are known for their diet of nectar from a variety of flowers, and are important pollinators of a wide range of plants. They are typically active during the day, and are often found basking in the sun or flying low over the ground in search of food.",6101
Xylocopa tabaniformis,horsefly-like carpenter bee,Naresh,black colored beetle with some yellow or white pubescence,Black colored beetle with some yellow or white pubescence,"Xylocopa tabaniformis, also known as the tabaniform carpenter bee, is a species of bee in the Xylocopinae subfamily. It is native to Europe and is found in a variety of habitats, including forests, fields, and gardens. The adult bee has a length of about 1 inch (2.5 cm) and is generally black in color with distinctive yellow markings on the thorax and abdomen. The body is covered in short hairs, and the wings are transparent. The tabaniform carpenter bee is active during the day and is often seen flying near flowers, where it feeds on nectar. It is known for its distinctive nesting behavior, in which the female excavates a nest in wood or plant stems using its mandibles.",949
Phragmatobia fuliginosa,stout tiger moth,Naresh,Reddish brown moth with brown wings,"Thorax and forewings dark reddish brown with blackish comma-shaped spot at apex of cell, edged with carmine","Phragmatobia fuliginosa, also known as the Ruby Tiger Moth, is a species of moth in the family Erebidae. It is native to Europe and Asia, but has been introduced to other parts of the world, including North America, where it is now found in parts of Canada and the United States. The adult moth has a wingspan of about 2.5 inches (6.4 cm) and is reddish-brown in color, with a series of black, wavy lines running across the wings. The body is slender and elongated, with long antennae and a small, pointed head. The legs are short and spiny, and the moth has a pair of hardened, digging forelegs that it uses to burrow into the soil and bury its eggs. The larvae of P. fuliginosa are green or brown in color and can reach lengths of up to 2 inches (5 cm). They are often found feeding on the leaves of various plants, including grasses and sedges.",4462
Pareuchaetes insulata,yellow-winged parechaetes,Naresh,Yellowish moth with black legs,The forewings are clay yellow without markings,"Pareuchaetes insulata, also known as the island pareuchaetes, is a species of moth in the Erebidae family. It is native to North America and is found in a variety of habitats, including forests, fields, and gardens. The adult moth has a wingspan of about 2 inches (5 cm) and is generally brown or black in color with distinctive white and orange markings. The front wings have a series of white and orange bands, and the hindwings are mostly brown with an orange border. The underside of the wings is a mottled brown color with white and orange markings. The island pareuchaetes is active at night and is attracted to lights. It is known for its distinctive courtship behavior, in which the male performs a series of aerial displays to attract a mate.",762
Ligdia adustata,scorched carpet moth,Naresh,Creamy white moth brown bands on wings,"Wings are glossy white, creamy white or light brownish. Forewings are dark brown with blue-grey band","I'm sorry, but I am unable to find any information on a species called ""Ligdia adustata."" It is possible that you have misspelled the name of the species or that it is not a valid scientific name. It is important to use the correct scientific name when looking up information about a particular species, as different organisms may have common names that are similar or even identical, but have different scientific names. If you provide me with more information or clarify what you are looking for, I will do my best to help you.",863
Calliphora vicina,Blue blowfly,Naresh,Blue colored fly,metallic blue-gray coloration of its thorax and abdomen,"Calliphora vicina, also known as the bluebottle fly, is a species of fly in the family Calliphoridae. It is native to Europe and is found in a variety of habitats, including forests, fields, and gardens. The adult fly has a length of about 0.5 inches (1.3 cm) and is generally blue or green in color with distinctive black and yellow markings. The thorax and abdomen are covered in short hairs, and the wings are transparent. The bluebottle fly is active during the day and is often seen flying near flowers, where it feeds on nectar. It is known for its distinctive courtship behavior, in which the male performs a series of aerial displays to attract a mate.",2334
Hypena manalis,Flowing-line Hypena,Naresh,Brown colored moth with dark brown patches on wings,Dark brown color fills in large areas that seem randomly drawn on each forewing,"Hypena manalis, also known as the Manal's hypena moth, is a species of moth in the Erebidae family. It is native to North America and is found in a variety of habitats, including forests, fields, and gardens. The adult moth has a wingspan of about 1.5 inches (3.8 cm) and is generally brown or black in color with distinctive white and orange markings. The front wings have a series of white and orange bands, and the hindwings are mostly brown with an orange border. The underside of the wings is a mottled brown color with white and orange markings. The Manal's hypena moth is active at night and is attracted to lights. It is known for its distinctive courtship behavior, in which the male performs a series of aerial displays to attract a mate.",551
Hyles lineata,"white-lined sphinx, hummingbird moth",Naresh,Brown colored humming bird like moth with pink band on lower wings,Forewing is dark brown with a tan stripe which extends from the base to the apex; Black hindwing has a broad pink median band,"Hyles lineata, also known as the White-Lined Sphinx or the Striped Morning Sphinx, is a species of moth in the family Sphingidae. It is native to North and South America, and is found in a wide range of habitats, including forests, fields, and gardens. The adult moth has a wingspan of about 4 inches (10 cm) and is characterized by its long, slender body and long, narrow wings. The wings are usually pink or purple in color, with a series of thin, white lines running across them. The body is brown or gray in color, with a series of black or dark brown spots running down the center of the thorax. The head is large and triangular, with a pair of long, narrow antennae. The legs are long and thin, and the moth has a pair of hardened, digging forelegs that it uses to burrow into the soil and bury its eggs. The larvae of H. lineata are green or brown in color and can reach lengths of up to 3 inches (7.6 cm). They are often found feeding on the leaves of various plants, including grasses, trees, and shrubs.",16488
Acraea terpsicore,Tawny Coster,Naresh,Brown colored moth with white lines on the wings,"a large, stout-bodied moth with a furry brown body crossed by six white stripes; long, narrow, triangular forewings and shorter hindwings",Acraea terpsicore is a medium-sized butterfly with a wingspan of approximately 3.5 cm. The upper side of the wings is a bright orange-red color with a black border and white spots. The underside of the wings is a pale yellow-brown color with a black border and white spots. The antennae are black and the body is black and white.,3553
Phyciodes pulchella,the field crescent,Naresh,Brown colored butterfly with yellow bars on the wings ,Upper side is orange and black. Underside of forewing is yellow-brown with a yellow bar at cell and small black patches on the inner margin. Underside of hindwing is yellow-brown with rusty markings.,Phyciodes pulchella is a small butterfly with a wingspan of about 1.5 inches. The upper side of the wings is a bright orange-red color with a black border and white spots. The underside of the wings is a duller orange-brown color with a white band and black spots. The antennae are black and white.,1875
