Scientific.Name,Common.Name
Bombus flavifrons,"yellow-fronted bumble bee,yellowhead bumblebee"
Apamea amputatrix,Yellow-Headed Cutworm 
Erthesina fullo,"yellow-spotted stink bug, yellow marmorated stink bug"
Anageshna primordialis,Yellow-Spotted Webworm
Spodoptera ornithogalli,"Yellow-striped Armyworm, Cotton Cutworm"
Orthodera ministralis, garden mantis or Australian green mantis
Pyrrharctia isabella," isabella tiger moth, the banded woolly bear, woolly bear, woolly worm"
Pyrops candelaria," Lantern Bug, Longan Lanternfly."
Prionoxystus robiniae," the carpenterworm moth, locust borer"
Pieris brassicae," the large white,cabbage butterfly, cabbage white, cabbage moth"
Bombus pratorum,"Â Early-Nesting Humble-bee, Early Nesting Bumblebee, EarlyÂ Humble-Bee"
Bombus mixtus,"Â fuzzy-horned bumblebee, tricoloured bumblebee, orange-belted bumblebee, mixed bumblebee."
Banasa euchlora,"Â juniper stink bug, jade stinkbug"
Bombus hypnorum,Â New Garden Bumblebee
Bombus borealis,Â northern amber bumblebee
Carpocoris mediterraneus,Â red shield bug
Bombus vancouverensis,Â Vancouver bumble bee
Bombus terricola,Â yellow-banded bumblebee
Amphibolips quercusjuglans,Acron Plum Gall Wasp
Adalia bipunctata,"Two-Spot Ladybird, Two-Spotted Ladybug, Two-Spotted Lady Beetle"
Adalia decempunctata,"Ten-Spotted Ladybird, Ten-Spotted Lady Beetle"
Polyommatus amandus,Amanda's blue
Bombus pensylvanicus,American bumble bee
Thesprotia graminis,American Grass Mantis
Vanessa virginiensis,American Lady
Anatis ocellata,Eyed Ladybug
Stiretrus anchorago,Anchor Stink Bug
Graphocephala coccinea,"andy-striped leafhopper, red-banded leafhopper, scarlet-and-green leafhopper, red-and-blue leafhopper."
Mythimna unipuncta,"Armyworm Moth, True Armyworm Moth"
Chromagrion conditum,"Aurora damsel, black and blue damselfly"
Psyche casta,bagworm moths
Megacopta cribraria,"bean plataspid, kudzu bug, globular stink bug and lablab bug"
Maruca vitrata,Bean Pod Borer
Aphomia sociella,"Bee Moth, Bumble Bee Wax Moth"
Spodoptera exigua,Beet Armyworm
Spoladea recurvalis,"Beet Webworm Moth, Hawaiian Beet Webworm"
Aelia acuminata,"Bishop's Mitre, Wheat Stink Bug"
Bombus auricomus,black and gold bumblebee
Lymantria monacha,"black arches, nun moth"
Hyposidra talaca,"black looper, black inch worm"
Bombus melanopygus,"black-tailed bumble bee, black tail bumble bee or orange-rumped bumblebee"
Kaniska canace,Blue admiral
Calliphora vicina,Blue blowfly
Oedipoda caerulescens,Blue Winged Grasshopper
Galasa nigrinodis,"boxwood leaftier moth, boxwood webworm"
Cicindela ocellata,Bronzed tiger beetle
Aricia agestis,Brown Argus
Agrotis munda,"Brown Cutworm, Pink Cutworm"
Halyomorpha halys,brown marmorated stink bug
Euschistus servus,Brown stink bug
Bombus griseocollis,brown-belted bumblebee
Operophtera bruceata,bruce spanworm
Bombus terrestris,"Buff tailed bumblebee, Buff-tailed bumblebee, Buff-tailed Humble-bee, Large Earth Humble-bee"
Euphoria inda,Bumble Flower Beetle
Volucella bombylans,Bumblebee Hoverfly
Laphria macquarti,bumblebee mimic robber fly
Trichoplusia ni,Cabbage Looper
Bombus californicus,California bumble bee
Xylocopa californica,California carpenter bee
Adelpha californica,California Sister Butterfly
Calvia quatuordecimguttata,Cream Spot Ladybird
Dissosteira carolina,"Carolina Locust, Caroline Grasshopper, Black-Winged Grasshopper, Road-Duster, Quaker"
Cheilomenes lunata,Lunate ladybird beetle
Cheilomenes sexmaculata,Zigzag ladybird beetle
Corizus hyoscyami,Cinnamon bug
Gonepteryx cleopatra,Cleopatra butterfly
Coccinella septempunctata,7-spotted ladybug
Coccinella transversalis,"Transverse ladybird, transverse lady beetle"
Coccinella Trifasciata,3 banded lady beetle
Coccinella undecimpunctata,eleven-spotted ladybird
Cydia pomonella,Codling moth
Coelophora inaequalis,"variable ladybird, common australian lady beetle"
Coleomegilla maculata,Pink spotted lady beetle/12 spotted lady beetle
Leptinotarsa decemlineata,Colorado potato beetle
Hesperia comma,"common branded skipper,silver-spotted skipper"
Bombus impatiens,Common eastern bumble bee
Lampyris noctiluca,common glow-worm
Omocestus viridulus,Common Green Grasshopper
Hyppa xylinoides,"common hyppa, cranberry cutworm"
Pezotettix giornae,common Marquis grasshopper
Ruspolia nitidula,cone-headed grasshopper
Bombus perplexus,confusing bumblebee
Helicoverpa zea,corn earworm
Crocidosema plebejana,cotton tipworm
Timandra amaturaria,"Cross-lined Wave Moth, Cobra Inchworm"
